Step 8500/500000, Total Loss: 0.4191, Mel Loss: 0.2020, Mel PostNet Loss: 0.2012, Pitch Loss: 0.0074, Energy Loss: 0.0052, Duration Loss: 0.0033
Step 8600/500000, Total Loss: 0.4215, Mel Loss: 0.2026, Mel PostNet Loss: 0.2018, Pitch Loss: 0.0078, Energy Loss: 0.0056, Duration Loss: 0.0038
Step 8700/500000, Total Loss: 0.4904, Mel Loss: 0.2329, Mel PostNet Loss: 0.2319, Pitch Loss: 0.0123, Energy Loss: 0.0075, Duration Loss: 0.0057
Step 8800/500000, Total Loss: 0.4838, Mel Loss: 0.2296, Mel PostNet Loss: 0.2286, Pitch Loss: 0.0117, Energy Loss: 0.0077, Duration Loss: 0.0062
Step 8900/500000, Total Loss: 0.4828, Mel Loss: 0.2291, Mel PostNet Loss: 0.2281, Pitch Loss: 0.0112, Energy Loss: 0.0080, Duration Loss: 0.0064
Step 9000/500000, Total Loss: 0.4317, Mel Loss: 0.2079, Mel PostNet Loss: 0.2071, Pitch Loss: 0.0079, Energy Loss: 0.0054, Duration Loss: 0.0033
Step 9100/500000, Total Loss: 0.4394, Mel Loss: 0.2099, Mel PostNet Loss: 0.2089, Pitch Loss: 0.0093, Energy Loss: 0.0071, Duration Loss: 0.0042
Step 9200/500000, Total Loss: 0.4803, Mel Loss: 0.2283, Mel PostNet Loss: 0.2273, Pitch Loss: 0.0116, Energy Loss: 0.0074, Duration Loss: 0.0056
Step 9300/500000, Total Loss: 0.4821, Mel Loss: 0.2286, Mel PostNet Loss: 0.2275, Pitch Loss: 0.0123, Energy Loss: 0.0075, Duration Loss: 0.0061
Step 9400/500000, Total Loss: 0.4883, Mel Loss: 0.2310, Mel PostNet Loss: 0.2300, Pitch Loss: 0.0120, Energy Loss: 0.0088, Duration Loss: 0.0065
Step 9500/500000, Total Loss: 0.4139, Mel Loss: 0.1998, Mel PostNet Loss: 0.1990, Pitch Loss: 0.0070, Energy Loss: 0.0050, Duration Loss: 0.0030
Step 9600/500000, Total Loss: 0.4112, Mel Loss: 0.1986, Mel PostNet Loss: 0.1977, Pitch Loss: 0.0074, Energy Loss: 0.0043, Duration Loss: 0.0033
Step 9700/500000, Total Loss: 0.4646, Mel Loss: 0.2222, Mel PostNet Loss: 0.2212, Pitch Loss: 0.0097, Energy Loss: 0.0067, Duration Loss: 0.0049
Step 9800/500000, Total Loss: 0.4722, Mel Loss: 0.2257, Mel PostNet Loss: 0.2247, Pitch Loss: 0.0095, Energy Loss: 0.0071, Duration Loss: 0.0052
Step 9900/500000, Total Loss: 0.4692, Mel Loss: 0.2243, Mel PostNet Loss: 0.2232, Pitch Loss: 0.0094, Energy Loss: 0.0071, Duration Loss: 0.0052
Step 10000/500000, Total Loss: 0.4017, Mel Loss: 0.1941, Mel PostNet Loss: 0.1934, Pitch Loss: 0.0062, Energy Loss: 0.0055, Duration Loss: 0.0024
Step 10100/500000, Total Loss: 0.4506, Mel Loss: 0.2148, Mel PostNet Loss: 0.2138, Pitch Loss: 0.0100, Energy Loss: 0.0074, Duration Loss: 0.0046
Step 10200/500000, Total Loss: 0.4285, Mel Loss: 0.2044, Mel PostNet Loss: 0.2035, Pitch Loss: 0.0097, Energy Loss: 0.0068, Duration Loss: 0.0041
Step 10300/500000, Total Loss: 0.4859, Mel Loss: 0.2313, Mel PostNet Loss: 0.2302, Pitch Loss: 0.0108, Energy Loss: 0.0079, Duration Loss: 0.0058
Step 10400/500000, Total Loss: 0.4905, Mel Loss: 0.2323, Mel PostNet Loss: 0.2312, Pitch Loss: 0.0118, Energy Loss: 0.0087, Duration Loss: 0.0065
Step 10500/500000, Total Loss: 0.4173, Mel Loss: 0.2016, Mel PostNet Loss: 0.2007, Pitch Loss: 0.0070, Energy Loss: 0.0052, Duration Loss: 0.0029
Step 10600/500000, Total Loss: 0.4190, Mel Loss: 0.2027, Mel PostNet Loss: 0.2018, Pitch Loss: 0.0065, Energy Loss: 0.0047, Duration Loss: 0.0033
Step 10700/500000, Total Loss: 0.4048, Mel Loss: 0.1957, Mel PostNet Loss: 0.1948, Pitch Loss: 0.0067, Energy Loss: 0.0046, Duration Loss: 0.0030
Step 10800/500000, Total Loss: 0.4729, Mel Loss: 0.2264, Mel PostNet Loss: 0.2253, Pitch Loss: 0.0095, Energy Loss: 0.0067, Duration Loss: 0.0051
Step 10900/500000, Total Loss: 0.4722, Mel Loss: 0.2261, Mel PostNet Loss: 0.2250, Pitch Loss: 0.0090, Energy Loss: 0.0067, Duration Loss: 0.0054
Step 11000/500000, Total Loss: 0.4620, Mel Loss: 0.2211, Mel PostNet Loss: 0.2201, Pitch Loss: 0.0092, Energy Loss: 0.0064, Duration Loss: 0.0051
Step 11100/500000, Total Loss: 0.4173, Mel Loss: 0.1999, Mel PostNet Loss: 0.1991, Pitch Loss: 0.0085, Energy Loss: 0.0063, Duration Loss: 0.0035
Step 11200/500000, Total Loss: 0.4181, Mel Loss: 0.2008, Mel PostNet Loss: 0.1999, Pitch Loss: 0.0075, Energy Loss: 0.0064, Duration Loss: 0.0036
Step 11300/500000, Total Loss: 0.4666, Mel Loss: 0.2230, Mel PostNet Loss: 0.2219, Pitch Loss: 0.0094, Energy Loss: 0.0069, Duration Loss: 0.0055
Step 11400/500000, Total Loss: 0.4666, Mel Loss: 0.2235, Mel PostNet Loss: 0.2224, Pitch Loss: 0.0095, Energy Loss: 0.0059, Duration Loss: 0.0053
Step 11500/500000, Total Loss: 0.4725, Mel Loss: 0.2253, Mel PostNet Loss: 0.2243, Pitch Loss: 0.0099, Energy Loss: 0.0072, Duration Loss: 0.0058
Step 11600/500000, Total Loss: 0.4082, Mel Loss: 0.1980, Mel PostNet Loss: 0.1972, Pitch Loss: 0.0058, Energy Loss: 0.0045, Duration Loss: 0.0027
Step 11700/500000, Total Loss: 0.4143, Mel Loss: 0.1970, Mel PostNet Loss: 0.1961, Pitch Loss: 0.0140, Energy Loss: 0.0041, Duration Loss: 0.0031
Step 11800/500000, Total Loss: 0.4570, Mel Loss: 0.2199, Mel PostNet Loss: 0.2188, Pitch Loss: 0.0082, Energy Loss: 0.0058, Duration Loss: 0.0044
Step 11900/500000, Total Loss: 0.4584, Mel Loss: 0.2204, Mel PostNet Loss: 0.2193, Pitch Loss: 0.0082, Energy Loss: 0.0057, Duration Loss: 0.0048
Step 12000/500000, Total Loss: 0.4626, Mel Loss: 0.2217, Mel PostNet Loss: 0.2206, Pitch Loss: 0.0088, Energy Loss: 0.0064, Duration Loss: 0.0050
Step 12100/500000, Total Loss: 0.3929, Mel Loss: 0.1911, Mel PostNet Loss: 0.1903, Pitch Loss: 0.0050, Energy Loss: 0.0041, Duration Loss: 0.0025
Step 12200/500000, Total Loss: 0.3947, Mel Loss: 0.1919, Mel PostNet Loss: 0.1910, Pitch Loss: 0.0056, Energy Loss: 0.0038, Duration Loss: 0.0025
Step 12300/500000, Total Loss: 0.4074, Mel Loss: 0.1980, Mel PostNet Loss: 0.1972, Pitch Loss: 0.0051, Energy Loss: 0.0044, Duration Loss: 0.0028
Step 12400/500000, Total Loss: 0.4510, Mel Loss: 0.2175, Mel PostNet Loss: 0.2164, Pitch Loss: 0.0075, Energy Loss: 0.0054, Duration Loss: 0.0042
Step 12500/500000, Total Loss: 0.4593, Mel Loss: 0.2207, Mel PostNet Loss: 0.2196, Pitch Loss: 0.0085, Energy Loss: 0.0057, Duration Loss: 0.0048
Step 12600/500000, Total Loss: 0.3932, Mel Loss: 0.1909, Mel PostNet Loss: 0.1901, Pitch Loss: 0.0058, Energy Loss: 0.0041, Duration Loss: 0.0023
Step 12700/500000, Total Loss: 0.3907, Mel Loss: 0.1905, Mel PostNet Loss: 0.1896, Pitch Loss: 0.0045, Energy Loss: 0.0038, Duration Loss: 0.0023
Step 12800/500000, Total Loss: 0.3899, Mel Loss: 0.1903, Mel PostNet Loss: 0.1895, Pitch Loss: 0.0046, Energy Loss: 0.0031, Duration Loss: 0.0022
Step 12900/500000, Total Loss: 0.4454, Mel Loss: 0.2148, Mel PostNet Loss: 0.2138, Pitch Loss: 0.0080, Energy Loss: 0.0049, Duration Loss: 0.0039
Step 13000/500000, Total Loss: 0.4499, Mel Loss: 0.2172, Mel PostNet Loss: 0.2160, Pitch Loss: 0.0073, Energy Loss: 0.0051, Duration Loss: 0.0042
Step 13100/500000, Total Loss: 0.4229, Mel Loss: 0.2052, Mel PostNet Loss: 0.2042, Pitch Loss: 0.0057, Energy Loss: 0.0042, Duration Loss: 0.0035
Step 13200/500000, Total Loss: 0.3916, Mel Loss: 0.1905, Mel PostNet Loss: 0.1896, Pitch Loss: 0.0052, Energy Loss: 0.0041, Duration Loss: 0.0022
Step 13300/500000, Total Loss: 0.3878, Mel Loss: 0.1893, Mel PostNet Loss: 0.1884, Pitch Loss: 0.0045, Energy Loss: 0.0033, Duration Loss: 0.0022
Step 13400/500000, Total Loss: 0.4563, Mel Loss: 0.2204, Mel PostNet Loss: 0.2193, Pitch Loss: 0.0073, Energy Loss: 0.0053, Duration Loss: 0.0041
Step 13500/500000, Total Loss: 0.4418, Mel Loss: 0.2133, Mel PostNet Loss: 0.2122, Pitch Loss: 0.0069, Energy Loss: 0.0052, Duration Loss: 0.0041
Step 13600/500000, Total Loss: 0.4511, Mel Loss: 0.2176, Mel PostNet Loss: 0.2165, Pitch Loss: 0.0076, Energy Loss: 0.0051, Duration Loss: 0.0042
Step 13700/500000, Total Loss: 0.3895, Mel Loss: 0.1901, Mel PostNet Loss: 0.1892, Pitch Loss: 0.0047, Energy Loss: 0.0034, Duration Loss: 0.0022
Step 13800/500000, Total Loss: 0.3982, Mel Loss: 0.1942, Mel PostNet Loss: 0.1932, Pitch Loss: 0.0049, Energy Loss: 0.0036, Duration Loss: 0.0023
Step 13900/500000, Total Loss: 0.4359, Mel Loss: 0.2113, Mel PostNet Loss: 0.2102, Pitch Loss: 0.0068, Energy Loss: 0.0044, Duration Loss: 0.0033
Step 14000/500000, Total Loss: 0.4345, Mel Loss: 0.2109, Mel PostNet Loss: 0.2099, Pitch Loss: 0.0060, Energy Loss: 0.0044, Duration Loss: 0.0034
Step 14100/500000, Total Loss: 0.4533, Mel Loss: 0.2193, Mel PostNet Loss: 0.2183, Pitch Loss: 0.0067, Energy Loss: 0.0050, Duration Loss: 0.0039
Step 14200/500000, Total Loss: 0.3840, Mel Loss: 0.1875, Mel PostNet Loss: 0.1867, Pitch Loss: 0.0048, Energy Loss: 0.0031, Duration Loss: 0.0019
Step 14300/500000, Total Loss: 0.3815, Mel Loss: 0.1855, Mel PostNet Loss: 0.1847, Pitch Loss: 0.0053, Energy Loss: 0.0036, Duration Loss: 0.0024
Step 14400/500000, Total Loss: 0.3794, Mel Loss: 0.1858, Mel PostNet Loss: 0.1849, Pitch Loss: 0.0038, Energy Loss: 0.0028, Duration Loss: 0.0021
Step 14500/500000, Total Loss: 0.4250, Mel Loss: 0.2059, Mel PostNet Loss: 0.2048, Pitch Loss: 0.0065, Energy Loss: 0.0044, Duration Loss: 0.0034
Step 14600/500000, Total Loss: 0.4438, Mel Loss: 0.2150, Mel PostNet Loss: 0.2139, Pitch Loss: 0.0069, Energy Loss: 0.0043, Duration Loss: 0.0038
Step 14700/500000, Total Loss: 0.3828, Mel Loss: 0.1872, Mel PostNet Loss: 0.1864, Pitch Loss: 0.0041, Energy Loss: 0.0033, Duration Loss: 0.0018
Step 14800/500000, Total Loss: 0.3856, Mel Loss: 0.1889, Mel PostNet Loss: 0.1880, Pitch Loss: 0.0041, Energy Loss: 0.0027, Duration Loss: 0.0019
Step 14900/500000, Total Loss: 0.3763, Mel Loss: 0.1842, Mel PostNet Loss: 0.1834, Pitch Loss: 0.0037, Energy Loss: 0.0029, Duration Loss: 0.0021
Step 15000/500000, Total Loss: 0.4287, Mel Loss: 0.2078, Mel PostNet Loss: 0.2068, Pitch Loss: 0.0063, Energy Loss: 0.0045, Duration Loss: 0.0034
Step 15100/500000, Total Loss: 0.4356, Mel Loss: 0.2110, Mel PostNet Loss: 0.2099, Pitch Loss: 0.0065, Energy Loss: 0.0043, Duration Loss: 0.0038
Step 15200/500000, Total Loss: 0.3741, Mel Loss: 0.1830, Mel PostNet Loss: 0.1822, Pitch Loss: 0.0036, Energy Loss: 0.0035, Duration Loss: 0.0017
Step 15300/500000, Total Loss: 0.3964, Mel Loss: 0.1861, Mel PostNet Loss: 0.1853, Pitch Loss: 0.0193, Energy Loss: 0.0031, Duration Loss: 0.0026
