Step 1600/600000, Total Loss: 3.2048, Mel Loss: 0.8592, Mel PostNet Loss: 0.8793, Pitch Loss: 0.9288, Energy Loss: 0.4575, Duration Loss: 0.0800
Step 1700/600000, Total Loss: 3.2525, Mel Loss: 0.8993, Mel PostNet Loss: 0.9246, Pitch Loss: 0.8404, Energy Loss: 0.4960, Duration Loss: 0.0922
Step 1800/600000, Total Loss: 3.3113, Mel Loss: 0.8962, Mel PostNet Loss: 0.9333, Pitch Loss: 1.0340, Energy Loss: 0.3622, Duration Loss: 0.0857
Step 1900/600000, Total Loss: 2.9827, Mel Loss: 0.8525, Mel PostNet Loss: 0.8911, Pitch Loss: 0.8444, Energy Loss: 0.3081, Duration Loss: 0.0866
Step 2000/600000, Total Loss: 3.0507, Mel Loss: 0.8639, Mel PostNet Loss: 0.9107, Pitch Loss: 0.8398, Energy Loss: 0.3496, Duration Loss: 0.0867
Step 2100/600000, Total Loss: 2.9394, Mel Loss: 0.8340, Mel PostNet Loss: 0.8596, Pitch Loss: 0.8122, Energy Loss: 0.3547, Duration Loss: 0.0788
Step 2200/600000, Total Loss: 2.9155, Mel Loss: 0.8270, Mel PostNet Loss: 0.8457, Pitch Loss: 0.7414, Energy Loss: 0.4242, Duration Loss: 0.0772
Step 100/600000, Total Loss: 31.6212, Mel Loss: 16.6146, Mel PostNet Loss: 12.8125, Pitch Loss: 1.0637, Energy Loss: 0.8461, Duration Loss: 0.2844
Step 200/600000, Total Loss: 20.6749, Mel Loss: 10.7084, Mel PostNet Loss: 7.7385, Pitch Loss: 1.3300, Energy Loss: 0.7011, Duration Loss: 0.1969
Step 300/600000, Total Loss: 10.7361, Mel Loss: 5.2587, Mel PostNet Loss: 3.8058, Pitch Loss: 1.0208, Energy Loss: 0.5028, Duration Loss: 0.1479
Step 100/600000, Total Loss: 32.4806, Mel Loss: 17.0828, Mel PostNet Loss: 12.8492, Pitch Loss: 1.2053, Energy Loss: 1.0977, Duration Loss: 0.2456
Step 200/600000, Total Loss: 22.0453, Mel Loss: 11.2949, Mel PostNet Loss: 8.6603, Pitch Loss: 1.1972, Energy Loss: 0.7154, Duration Loss: 0.1774
Step 300/600000, Total Loss: 11.5783, Mel Loss: 5.5341, Mel PostNet Loss: 4.0700, Pitch Loss: 1.3708, Energy Loss: 0.4501, Duration Loss: 0.1533
